"pool_size","duration","p99_ms","repeat","sellout_sec","p50_ms","db_active","excess_reservations","http_reqs","duplicated_seats","run_id","vus","sweep","strategy","pool_timeouts","kind","seat_count","label","error_rate","usage_ms","tps_spread_pct","check_ok_rate","tps","db_cpu_pct","sold_seats","max_ms","db_conns","acquire_ms","p95_ms","value"
"100","15s","45.98","1","0.53","21.9","1","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","11.028","","0.6667","6360.3","88.4","500","115","101","9.788","34.22","100"
"100","15s","40.35","2","0.525","18.15","1","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","8.996","","0.6667","6384.3","83.2","500","113.67","101","8.516","29.23","100"
"100","15s","38.7","3","0.464","18","1.6","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","8.889","","0.6667","6437.1","74.9","500","93.33","101","8.328","28.89","100"
"100","15s","40.35","0","0.525","18.15","1","0","","","20260907-201330","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-4코어","","8.996","1.2","","6384.3","83.2","","","101","8.516","29.23","100"
"150","15s","36.92","1","0.548","20.51","1.4","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","15.472","","0.6667","6304.8","101","500","102.02","151","3.586","29.53","150"
"150","15s","35.14","2","0.5","18.41","1.1","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","13.854","","0.6667","6340.4","100.7","500","84.58","151","3.697","26.81","150"
"150","15s","31.92","3","0.408","17.9","1.6","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","13.325","","0.6667","6469.1","72.9","500","97.25","151","3.533","24.76","150"
"150","15s","35.14","0","0.5","18.41","1.4","0","","","20260907-201330","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-4코어","","13.854","2.6","","6340.4","100.7","","","151","3.586","26.81","150"
"200","15s","42.2","1","0.529","21.56","2.2","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","19.873","","0.6667","6461.3","108","500","142.99","201","0.015","30.35","200"
"200","15s","39.61","2","0.514","17.66","1","0","100004","0","20260907-201330","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-4코어","0","16.749","","0.6667","6483.6","71.2","500","96.32","201","0.025","25.23","200"
