"max_ms","sellout_sec","tps","strategy","p95_ms","seat_count","value","p99_ms","repeat","http_reqs","label","p50_ms","kind","error_rate","duplicated_seats","sold_seats","tps_spread_pct","pool_size","check_ok_rate","run_id","duration","sweep","vus","excess_reservations"
"169.42","0.028","80","atomic","99.84","5","5","109.87","1","1004","스모크","79.06","run","0","0","5","","10","0.6667","20260907-140848","12s","SEAT_COUNT","200","0"
"","0.028","80","atomic","99.84","5","5","109.87","0","","스모크","79.06","median","","","","0","10","","20260907-140848","12s","SEAT_COUNT","200","0"
"164.93","0.179","1598.4","atomic","64.08","100","100","92.9","1","20004","스모크","45.39","run","0","0","100","","10","0.6667","20260907-140848","12s","SEAT_COUNT","200","0"
"","0.179","1598.4","atomic","64.08","100","100","92.9","0","","스모크","45.39","median","","","","0","10","","20260907-140848","12s","SEAT_COUNT","200","0"
"578.66","0.006","76.8","redis","329.3","5","5","364.73","1","1004","스모크","233.5","run","0","0","5","","10","0.6667","20260907-140848","12s","SEAT_COUNT","200","0"
"","0.006","76.8","redis","329.3","5","5","364.73","0","","스모크","233.5","median","","","","0","10","","20260907-140848","12s","SEAT_COUNT","200","0"
"1124.47","0.301","1529.5","redis","199.62","100","100","332.03","1","20004","스모크","52.5","run","0","0","100","","10","0.6667","20260907-140848","12s","SEAT_COUNT","200","0"
"","0.301","1529.5","redis","199.62","100","100","332.03","0","","스모크","52.5","median","","","","0","10","","20260907-140848","12s","SEAT_COUNT","200","0"
