"max_ms","sellout_sec","tps","strategy","p95_ms","seat_count","value","p99_ms","repeat","http_reqs","label","p50_ms","kind","error_rate","duplicated_seats","sold_seats","tps_spread_pct","pool_size","check_ok_rate","run_id","duration","sweep","vus","excess_reservations"
"274.64","0.904","6224.5","none","39.12","500","500","59.45","2","100004","경합강도","27.63","run","0","14","514","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","14"
"121.6","0.523","6225.4","none","37","500","500","57.03","3","100004","경합강도","27.81","run","0","15","515","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","15"
"","0.898","6225.4","none","39.12","500","500","59.45","0","","경합강도","27.79","median","","","","1.6","10","","20260907-162643","15s","SEAT_COUNT","200","15"
"175.69","0.813","6357.8","none","49.44","1000","1000","60.83","1","100004","경합강도","27.68","run","0","9","509","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","9"
"156.26","0.799","6225.3","none","40.13","1000","1000","57.76","2","100004","경합강도","27.64","run","0","10","510","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","10"
"141.32","0.579","6405","none","37.99","1000","1000","57.96","3","100004","경합강도","28.13","run","0","15","515","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","15"
"","0.799","6357.8","none","40.13","1000","1000","57.96","0","","경합강도","27.68","median","","","","2.8","10","","20260907-162643","15s","SEAT_COUNT","200","10"
"243.31","0","13.3","pessimistic","236.98","1","1","242.24","1","204","경합강도","139.89","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"157.42","0","13.4","pessimistic","150.23","1","1","156.37","2","204","경합강도","105.8","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"193.84","0","13.3","pessimistic","188.65","1","1","192.79","3","204","경합강도","118.42","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0","13.3","pessimistic","188.65","1","1","192.79","0","","경합강도","118.42","median","","","","0.8","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"292.44","0.003","26.2","pessimistic","171.03","2","2","185.74","1","404","경합강도","143.54","run","0","0","2","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"150.94","0","26.3","pessimistic","140.56","2","2","146.78","2","404","경합강도","122.43","run","0","0","2","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"215.37","0","26.3","pessimistic","120.34","2","2","126.71","3","404","경합강도","107.77","run","0","0","2","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0","26.3","pessimistic","140.56","2","2","146.78","0","","경합강도","122.43","median","","","","0.4","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"182.62","0.005","64.5","pessimistic","104.69","5","5","108","1","1004","경합강도","89.74","run","0","0","5","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"173.07","0.014","64.6","pessimistic","92.51","5","5","97.97","2","1004","경합강도","82.38","run","0","0","5","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"188.66","0.006","65","pessimistic","83.44","5","5","142.64","3","1004","경합강도","69.58","run","0","0","5","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.006","64.6","pessimistic","92.51","5","5","108","0","","경합강도","82.38","median","","","","0.8","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"177.62","0.024","125.9","pessimistic","98.6","10","10","146.82","1","2004","경합강도","77.18","run","0","0","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"190.16","0.031","127.6","pessimistic","75.03","10","10","123.56","2","2004","경합강도","57.3","run","0","0","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"151.36","0.017","127.8","pessimistic","80.51","10","10","115.18","3","2004","경합강도","57.12","run","0","0","10","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.024","127.6","pessimistic","80.51","10","10","123.56","0","","경합강도","57.3","median","","","","1.5","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"197.97","0.034","261.7","pessimistic","79.45","20","20","125.78","1","4004","경합강도","56.83","run","0","0","20","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"276.87","0.042","260.2","pessimistic","123.65","20","20","148.75","2","4004","경합강도","63.28","run","0","0","20","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"205.94","0.027","249.2","pessimistic","84.11","20","20","108.14","3","4004","경합강도","54.15","run","0","0","20","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.034","260.2","pessimistic","84.11","20","20","125.78","0","","경합강도","56.83","median","","","","4.8","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"226.55","0.096","633.2","pessimistic","92.37","50","50","114.41","1","10004","경합강도","52.31","run","0","0","50","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"158.37","0.082","647.6","pessimistic","66.15","50","50","102.12","2","10004","경합강도","45.53","run","0","0","50","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"113.11","0.07","634.6","pessimistic","47.13","50","50","69.71","3","10004","경합강도","31.7","run","0","0","50","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.082","634.6","pessimistic","66.15","50","50","102.12","0","","경합강도","45.53","median","","","","2.3","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"170.4","0.18","1284.4","pessimistic","68.03","100","100","105.9","1","20004","경합강도","43.14","run","0","0","100","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
